# Natural Linewdiths for K and L lines from table 1 in
# Krause and Oliver, J. Phys. Chem. Ref. Data 8,329 (1979)
#
# Z  Symbol   K   L1   L2   L3   Ka1   Ka2   KL1L1   KL1L2   KL2L3
 64   Gd   22.3   5.05   4.32   4.01   26.4   26.7   32.4   31.7   30.7
 65   Tb   23.8   5.19   4.43   4.12   27.9   28.2   34.1   33.4   32.3
 66   Dy   25.2   5.25   4.55   4.17   29.4   29.8   35.7   35   34
 67   Ho   26.8   5.33   4.66   4.26   31.1   31.5   37.5   36.8   35.7
 68   Er   28.4   5.43   4.73   4.35   32.7   33.1   39.2   38.5   37.5
 69   Tm   30.1   5.47   4.79   4.48   34.6   34.9   41   40.3   39.3
 70   Yb   31.9   5.53   4.82   4.6   36.5   36.7   42.9   42.2   41.3
 71   Lu   33.7   5.54   4.92   4.68   38.4   38.7   44.8   44.2   43.4
 72   Hf   35.7   5.63   5.02   4.8   40.5   40.7   47   46.3   45.5
 73   Ta   37.7   5.58   5.15   4.88   42.6   42.9   48.9   48.5   47.8
 74    W   39.9   5.61   5.33   4.98   44.9   45.2   51.1   50.8   50.2
 75   Re   42.1   6.18   5.48   5.04   47.2   47.6   54.5   53.8   52.6
 76   0s   44.4   7.25   5.59   5.16   49.6   50   58.9   57.2   55.1
 77   Ir   46.8   8.3   5.69   5.25   52.1   52.5   63.4   60.8   57.7
 78   Pt   49.3   9.39   5.86   5.31   54.6   55.2   68.1   64.6   60.5
 79   Au   52   10.5   6   5.41   57.4   58   72.9   68.4   63.4
 80   Hg   54.6   11.3   6.17   5.5   60.1   60.8   77.3   72.1   66.3
 81   Tl   57.4   12   6.32   5.65   63.1   63.8   81.4   75.7   69.4
 82   Pb   60.4   12.2   6.48   5.81   66.2   66.8   84.8   79.1   72.7
 83   Bi   63.4   12.4   6.67   5.98   69.4   70.1   88.2   82.5   76.1
 84   Po   66.6   12.6   6.83   6.13   72.7   73.4   91.9   86.1   79.6
 85   At   69.8   12.8   7.01   6.29   76.1   76.8   95.5   89.7   83.1
 86   Rn   73.3   13.1   7.2   6.41   79.7   80.5   99.4   93.5   86.9
 87   Fr   76.8   13.3   7.47   6.65   83.4   84.2   103   97.5   90.9
 88   Ra   80.4   13.4   7.68   6.82   87.2   88.1   107   101   94.9
 89   Ac   84.1   13.6   7.95   6.98   91.1   92   111   106   99
 90   Th   88   13.7   8.18   7.13   95.2   96.2   115   110   103
 91   Pa   91.9   14.3   8.75   7.33   99.3   100.7   121   115   108
 92    U   96.1   14   9.32   7.43   103.5   105.4   124   119   113
 93   Np   100   14   9.91   7.59   108   110   128   124   118
 94   Pu   105   13.5   10.5   7.82   113   115   132   129   123
 95   Am   109   13.3   10.9   8.04   117   120   136   133   128
 96   Cm   114   13.6   11.4   8.26   122   125   141   139   133
 97   Bk   119   13.8   11.8   8.55   127   130   146   144   138
 98   Cf   124   14   12.2   8.75   132   136   151   150   144
 99   Es   129   14.3   12.7   9.04   138   141   157   155   150
100   Fm   135   14.4   13.1   9.33   144   148   164   162   157
101   Md   140   14.8   13.6   9.61   150   153   170   168   163
102   No   145   15.1   14   9.9   155   159   176   175   169
103   Lr   150   15.9   14.4   10.1   161   165   182   181   175
104   Rf   156   16.2   14.9   10.5   167   171   189   188   182
105   Db   162   16.5   15.5   10.8   173   177   195   194   188
106   Sg   168   16.8   15.9   11.2   179   184   201   200   195
107   Bh   174   17   16.4   11.6   185   190   208   207   202
108   Hs   181   17.2   17   12   193   198   215   215   210
109   Mt   187   17.6   17.5   12.3   200   205   222   222   217
110   Ds   193   18.1   18.1   12.7   206   211   229   229   224
